order_id,ts,symbol,pnl,strategy,adapter_latency_ms
PAPER-681,2025-07-03 12:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-682,2025-07-04 06:00:00+00:00,USDJPY,50.90302626855781,default,25.0
PAPER-683,2025-07-07 04:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-684,2025-07-07 08:00:00+00:00,USDJPY,-16.740841142663996,default,25.0
PAPER-685,2025-07-07 08:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-686,2025-07-07 12:00:00+00:00,USDJPY,-21.004369746704796,default,25.0
PAPER-687,2025-07-07 12:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-688,2025-07-07 15:00:00+00:00,USDJPY,-21.422048359376607,default,25.0
PAPER-689,2025-07-07 15:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-690,2025-07-07 16:00:00+00:00,USDJPY,-19.838103532119355,default,25.0
PAPER-691,2025-07-07 16:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-692,2025-07-08 01:00:00+00:00,USDJPY,-20.300630851049455,default,25.0
PAPER-693,2025-07-08 01:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-694,2025-07-08 11:00:00+00:00,USDJPY,-22.56629080255972,default,25.0
PAPER-695,2025-07-08 11:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-696,2025-07-08 14:00:00+00:00,USDJPY,-24.725712792018772,default,25.0
PAPER-697,2025-07-08 14:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-698,2025-07-09 12:00:00+00:00,USDJPY,28.30861189801645,default,25.0
PAPER-699,2025-07-09 23:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-700,2025-07-10 00:00:00+00:00,USDJPY,-18.18249074672867,default,25.0
PAPER-701,2025-07-10 00:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-702,2025-07-10 04:00:00+00:00,USDJPY,37.78320763656868,default,25.0
PAPER-703,2025-07-10 06:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-704,2025-07-10 13:00:00+00:00,USDJPY,28.020826351554277,default,25.0
PAPER-705,2025-07-11 01:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-706,2025-07-11 04:00:00+00:00,USDJPY,-20.705672488347627,default,25.0
PAPER-707,2025-07-11 04:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-708,2025-07-11 14:00:00+00:00,USDJPY,-19.421126840714532,default,25.0
PAPER-709,2025-07-11 14:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-710,2025-07-14 16:00:00+00:00,USDJPY,-26.74904733768475,default,25.0
PAPER-711,2025-07-14 16:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-712,2025-07-15 12:00:00+00:00,USDJPY,-20.9199173365086,default,25.0
PAPER-713,2025-07-15 12:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-714,2025-07-15 13:00:00+00:00,USDJPY,-19.14146359582421,default,25.0
PAPER-715,2025-07-15 13:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-716,2025-07-15 15:00:00+00:00,USDJPY,-23.663077067701625,default,25.0
PAPER-717,2025-07-15 15:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-718,2025-07-16 04:00:00+00:00,USDJPY,-24.652883810148897,default,25.0
PAPER-719,2025-07-16 04:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-720,2025-07-16 14:00:00+00:00,USDJPY,37.464305312698976,default,25.0
PAPER-721,2025-07-16 17:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-722,2025-07-17 00:00:00+00:00,USDJPY,46.2142038753164,default,25.0
PAPER-723,2025-07-18 07:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-724,2025-07-18 10:00:00+00:00,USDJPY,16.677188408918887,default,25.0
