time,open,high,low,close,volume
2025-02-28 21:00:00+00:00,93.404,93.52,93.37,93.504,10539
2025-03-02 22:00:00+00:00,93.697,93.728,93.579,93.586,763
2025-03-02 23:00:00+00:00,93.584,93.958,93.58,93.808,5980
2025-03-03 00:00:00+00:00,93.808,93.853,93.616,93.622,10772
2025-03-03 01:00:00+00:00,93.624,93.853,93.552,93.663,12849
2025-03-03 02:00:00+00:00,93.664,93.692,93.546,93.56,10828
2025-03-03 03:00:00+00:00,93.555,93.575,93.328,93.549,10677
2025-03-03 04:00:00+00:00,93.548,93.626,93.502,93.504,7993
2025-03-03 05:00:00+00:00,93.502,93.626,93.501,93.514,9209
2025-03-03 06:00:00+00:00,93.514,93.566,93.388,93.528,9294
2025-03-03 07:00:00+00:00,93.53,93.576,93.364,93.37,10018
2025-03-03 08:00:00+00:00,93.368,93.43,93.194,93.34,12104
2025-03-03 09:00:00+00:00,93.343,93.61,93.282,93.578,10382
2025-03-03 10:00:00+00:00,93.576,93.897,93.574,93.862,10329
2025-03-03 11:00:00+00:00,93.859,94.102,93.84,94.09,8639
2025-03-03 12:00:00+00:00,94.089,94.243,94.08,94.178,11318
2025-03-03 13:00:00+00:00,94.179,94.238,94.054,94.1,13513
2025-03-03 14:00:00+00:00,94.102,94.235,94.004,94.036,15243
2025-03-03 15:00:00+00:00,94.046,94.046,93.714,93.764,22512
2025-03-03 16:00:00+00:00,93.768,93.886,93.694,93.819,15601
2025-03-03 17:00:00+00:00,93.82,93.949,93.778,93.832,7707
2025-03-03 18:00:00+00:00,93.831,93.844,93.596,93.65,11402
2025-03-03 19:00:00+00:00,93.65,93.762,93.422,93.488,9377
2025-03-03 20:00:00+00:00,93.49,93.493,92.536,92.946,16255
2025-03-03 21:00:00+00:00,92.946,93.158,92.938,93.056,7777
2025-03-03 22:00:00+00:00,93.027,93.138,93.0,93.047,998
2025-03-03 23:00:00+00:00,93.046,93.077,92.694,92.806,4593
2025-03-04 00:00:00+00:00,92.811,92.972,92.478,92.718,11704
2025-03-04 01:00:00+00:00,92.72,92.777,92.344,92.489,16306
2025-03-04 02:00:00+00:00,92.49,92.748,92.422,92.581,12277
2025-03-04 03:00:00+00:00,92.58,92.656,92.432,92.484,11691
